stolica woj..;województwo;miasta_n_p_pow;XA02;XA03;XA04;XA05;XA06;XA17;XA19
0;Podkarpackie;County;15582,00;8253,00;3029,00;4300,00;19,80;36,00;11715,00
0;Podkarpackie;County;20434,00;14393,00;1123,00;4918,00;17,90;125,20;14238,00
0;Podkarpackie;County;24367,00;13814,00;4408,00;6145,00;16,90;113,30;15022,00
0;Podkarpackie;County;19901,00;8230,00;5539,00;6132,00;17,00;323,10;15116,00
0;Podkarpackie;County;51290,00;26078,00;11030,00;14182,00;12,80;589,60;33572,00
0;Podkarpackie;County;31569,00;10781,00;10534,00;10254,00;9,90;208,00;17380,00
0;Podkarpackie;County;33790,00;7183,00;14222,00;12385,00;9,60;731,90;18093,00
0;Podkarpackie;County;18416,00;11960,00;2134,00;4322,00;20,20;23,40;11563,00
0;Podkarpackie;County;17778,00;8040,00;5588,00;4150,00;11,10;309,40;9427,00
0;Podkarpackie;County;7569,00;4166,00;472,00;2931,00;20,90;27,10;4684,00
0;Podkarpackie;City;23530,00;480,00;10088,00;12962,00;5,90;139,10;7823,00
1;Podkarpackie;City;86665,00;3399,00;21268,00;61998,00;7,30;1086,50;32900,00
0;Podkarpackie;City;18401,00;1399,00;3619,00;13383,00;14,90;31,90;10165,00
0;Podkarpackie;City;12035,00;1798,00;2352,00;7885,00;13,30;50,80;7605,00
0;Mazowieckie;County;15694,00;8236,00;2470,00;4988,00;13,80;65,00;10766,00
0;Mazowieckie;County;17266,00;3731,00;3930,00;9605,00;13,90;410,20;14250,00
0;Mazowieckie;County;16647,00;629,00;5676,00;10342,00;13,30;426,60;9629,00
0;Mazowieckie;County;10129,00;6560,00;1084,00;2485,00;10,90;12,40;6902,00
0;Mazowieckie;County;11698,00;4748,00;2216,00;4734,00;18,70;44,90;7907,00
0;Mazowieckie;County;12504,00;8543,00;1104,00;2857,00;10,10;21,00;5831,00
0;Mazowieckie;County;13237,00;6586,00;2189,00;4462,00;20,10;30,30;10068,00
0;Mazowieckie;County;11567,00;7480,00;1102,00;2985,00;19,70;25,30;7483,00
0;Mazowieckie;County;24363,00;14203,00;4702,00;5458,00;8,70;191,20;16365,00
0;Mazowieckie;County;18679,00;7867,00;5640,00;5172,00;13,90;1980,20;10832,00
0;Mazowieckie;County;21269,00;3590,00;7286,00;10393,00;9,90;464,80;14898,00
0;Mazowieckie;County;38105,00;3191,00;9468,00;25446,00;4,30;772,70;22592,00
0;Mazowieckie;County;24516,00;12078,00;4005,00;8433,00;14,40;173,40;16665,00
0;Mazowieckie;County;12652,00;8563,00;1340,00;2749,00;13,70;22,70;5851,00
0;Mazowieckie;County;30621,00;3790,00;10497,00;16334,00;6,70;480,60;23893,00
0;Mazowieckie;County;13048,00;8599,00;1287,00;3162,00;23,70;25,60;7716,00
0;Mazowieckie;County;11816,00;6762,00;1261,00;3793,00;20,70;43,20;8899,00
0;Mazowieckie;County;31778,00;17699,00;5699,00;8380,00;25,10;106,00;31187,00
0;Mazowieckie;County;18456,00;8384,00;3866,00;6206,00;9,40;204,10;9694,00
0;Mazowieckie;County;42858,00;6388,00;12407,00;24063,00;13,20;1403,20;51165,00
0;Mazowieckie;County;18710,00;10318,00;3004,00;5388,00;11,30;254,60;12691,00
0;Mazowieckie;County;7880,00;3442,00;1506,00;2932,00;30,80;14,70;7645,00
0;Mazowieckie;County;29810,00;12870,00;7257,00;9683,00;13,30;133,50;23177,00
0;Mazowieckie;County;22617,00;5554,00;5931,00;11132,00;15,20;369,10;16493,00
0;Mazowieckie;County;41834,00;1680,00;11401,00;28753,00;6,20;1470,40;30937,00
0;Mazowieckie;County;22018,00;7833,00;6946,00;7239,00;12,20;277,10;14004,00
0;Mazowieckie;County;12076,00;5215,00;2403,00;4458,00;20,60;111,30;10068,00
0;Mazowieckie;County;45441,00;915,00;17219,00;27307,00;10,30;2273,10;20771,00
0;Mazowieckie;County;16263,00;1560,00;3442,00;11261,00;12,40;300,60;23759,00
0;Mazowieckie;County;21675,00;2026,00;6279,00;13370,00;5,60;362,60;18568,00
0;Mazowieckie;County;25187,00;7175,00;6033,00;11979,00;8,70;248,50;16058,00
0;Mazowieckie;County;31086,00;8123,00;8458,00;14505,00;8,70;288,10;31138,00
0;Mazowieckie;County;25300,00;14173,00;3895,00;7232,00;16,90;178,00;21135,00
0;Mazowieckie;County;10831,00;6975,00;1005,00;2851,00;18,80;9,10;6947,00
0;Mazowieckie;County;23553,00;16002,00;2781,00;4770,00;15,20;100,80;18493,00
0;Lubelskie;County;32715,00;19055,00;3197,00;10463,00;12,90;200,40;21881,00
0;Lubelskie;County;37717,00;24486,00;5386,00;7845,00;8,00;69,40;18818,00
0;Lubelskie;County;22889,00;16718,00;1377,00;4794,00;16,90;50,70;14642,00
0;Lubelskie;County;20570,00;13704,00;1127,00;5739,00;17,70;79,40;11065,00
0;Lubelskie;County;19042,00;13527,00;1891,00;3624,00;12,20;54,80;8478,00
0;Lubelskie;County;21911,00;13751,00;3072,00;5088,00;15,10;38,90;10471,00
0;Lubelskie;County;32752,00;19709,00;4942,00;8101,00;13,00;190,30;16777,00
0;Lubelskie;County;26946,00;15160,00;4415,00;7371,00;14,10;204,80;16934,00
0;Lubelskie;County;41038,00;26524,00;4946,00;9568,00;10,00;126,20;30019,00
0;Lubelskie;County;21002,00;7793,00;8218,00;4991,00;8,30;348,00;11094,00
0;Lubelskie;County;33651,00;17763,00;5864,00;10024,00;8,90;143,90;22805,00
0;Lubelskie;County;20667,00;14218,00;2103,00;4346,00;13,00;103,00;10754,00
0;Lubelskie;County;11166,00;6861,00;1344,00;2961,00;12,20;52,30;6412,00
0;Lubelskie;County;37677,00;13948,00;9738,00;13991,00;8,90;433,10;19848,00
0;Lubelskie;County;19413,00;11319,00;2857,00;5237,00;12,80;79,30;11821,00
0;Lubelskie;County;16364,00;8049,00;2843,00;5472,00;12,50;66,60;10377,00
0;Lubelskie;County;18404,00;6763,00;5590,00;6051,00;14,30;110,00;12509,00
0;Lubelskie;County;28714,00;18310,00;3508,00;6896,00;12,50;75,70;14788,00
0;Lubelskie;City;15099,00;1365,00;3044,00;10690,00;13,70;71,00;10265,00
0;Lubelskie;County;9801,00;5159,00;1420,00;3222,00;20,80;21,00;6981,00
0;Lubelskie;County;34115,00;24726,00;3621,00;5768,00;13,90;74,30;19079,00
1;Lubelskie;City;124252,00;4960,00;22277,00;97015,00;7,90;1643,50;56090,00
0;Lubelskie;City;15473,00;1606,00;3257,00;10610,00;14,70;90,70;9986,00
